,Season,Season Encoding,Date,YearOfSeason,YearOfSeason Encoding,HomeTeam,HomeTeam Encoding,AwayTeam,AwayTeam Encoding,FTHG,FTAG,FTR,FTR Encoding,HTHG,HTAG,HTR,Referee,Referee Encoding,Fouls Called Per Game,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
94,Fall,0,29/11/2020,2020/21,1,Chelsea,5,Tottenham,25,0.0,0.0,D,2,0.0,0.0,D,P Tierney,5,15.0,13.0,5.0,3.0,1.0,20.0,9.0,3.0,3.0,4.0,2.0,0.0,0.0
95,Fall,0,29/11/2020,2020/21,1,Arsenal,0,Wolves,29,1.0,2.0,A,1,1.0,2.0,A,M Oliver,28,14.0,13.0,11.0,2.0,5.0,13.0,13.0,8.0,4.0,3.0,4.0,0.0,0.0
96,Fall,0,30/11/2020,2020/21,1,Leicester,12,Fulham,8,1.0,2.0,A,1,0.0,2.0,A,S Hooper,0,14.0,16.0,10.0,3.0,5.0,9.0,21.0,6.0,5.0,0.0,2.0,0.0,0.0
97,Fall,0,30/11/2020,2020/21,1,West Ham,28,Aston Villa,-1,2.0,1.0,H,0,1.0,1.0,D,P Bankes,3,13.0,6.0,16.0,2.0,6.0,20.0,7.0,3.0,7.0,1.0,1.0,0.0,0.0
98,Winter,1,05/12/2020,2019/20,2,Burnley,-1,Everton,7,1.0,1.0,D,2,1.0,1.0,D,A Taylor,10,15.0,8.0,13.0,3.0,6.0,6.0,9.0,8.0,4.0,0.0,0.0,0.0,0.0
99,Winter,1,05/12/2020,2019/20,2,Man City,14,Fulham,8,2.0,0.0,H,0,2.0,0.0,H,J Moss,27,14.0,16.0,6.0,6.0,1.0,7.0,6.0,9.0,3.0,0.0,0.0,0.0,0.0
100,Winter,1,05/12/2020,2019/20,2,West Ham,28,Man United,15,1.0,3.0,A,1,1.0,0.0,H,A Marriner,14,13.0,19.0,15.0,6.0,6.0,9.0,10.0,5.0,4.0,0.0,0.0,0.0,0.0
101,Winter,1,05/12/2020,2019/20,2,Chelsea,5,Leeds,11,3.0,1.0,H,0,1.0,1.0,D,K Friend,19,14.0,23.0,8.0,11.0,3.0,12.0,9.0,8.0,4.0,0.0,2.0,0.0,0.0
102,Winter,1,06/12/2020,2019/20,2,West Brom,27,Crystal Palace,6,1.0,5.0,A,1,1.0,1.0,D,P Tierney,5,15.0,9.0,18.0,4.0,6.0,10.0,16.0,4.0,6.0,2.0,2.0,1.0,0.0
103,Winter,1,06/12/2020,2019/20,2,Sheffield United,20,Leicester,12,1.0,2.0,A,1,1.0,1.0,D,S Attwell,11,14.0,4.0,13.0,1.0,4.0,13.0,6.0,6.0,5.0,1.0,3.0,0.0,0.0
104,Winter,1,06/12/2020,2019/20,2,Tottenham,25,Arsenal,0,2.0,0.0,H,0,2.0,0.0,H,M Atkinson,16,13.0,6.0,11.0,3.0,2.0,16.0,12.0,3.0,9.0,1.0,2.0,0.0,0.0
105,Winter,1,06/12/2020,2019/20,2,Liverpool,13,Wolves,29,4.0,0.0,H,0,1.0,0.0,H,C Pawson,25,15.0,11.0,9.0,6.0,3.0,8.0,14.0,4.0,6.0,1.0,1.0,0.0,0.0
106,Winter,1,07/12/2020,2019/20,2,Brighton,3,Southampton,21,1.0,2.0,A,1,1.0,1.0,D,D Coote,9,14.0,12.0,10.0,4.0,3.0,12.0,12.0,4.0,3.0,3.0,3.0,0.0,0.0
107,Winter,1,11/12/2020,2020/21,1,Leeds,11,West Ham,28,1.0,2.0,A,1,1.0,1.0,D,M Oliver,28,14.0,13.0,19.0,7.0,8.0,12.0,10.0,5.0,6.0,1.0,2.0,0.0,0.0
